observed_symbol,security_id,identity_state,ever_ds03_included,anchor_overlap_symbol,disposition
BCS,t62_sec_4f19ffecd11065e69edb,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BCV,t62_sec_e24b6d2fb415dc0a7fd8,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BDC,t62_sec_4a4bed009a8732c294b2,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BDN,t62_sec_402523baa79e711dd873,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BDX,t62_sec_8939e27834f985d545b5,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BELFB,t62_sec_0d47e1e1694b80489864,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BFH,t62_sec_7a930477c22a7d17c58c,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BFS,t62_sec_7f6c859f6be7e8d730e0,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BG,t62_sec_c41452e110bcbd550850,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BGC,t62_sec_a5ec16172a4e7ec18fa6,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BGR,t62_sec_6871dd3f17c16f27d3ee,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BGT,t62_sec_dea23e0561eb8203783b,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BH,t62_sec_22efa44d6927be6c70e5,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BHC,t62_sec_1bf50dfd71ae52084df7,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BHE,t62_sec_e727ddebc25a328d9bcb,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BHK,t62_sec_9d728d939465e64ba78e,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BHP,t62_sec_87096ff839bbe6e204f6,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BIIB,t62_sec_cb28e23367791986966c,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BIO,t62_sec_ff3fbcfef979e51f0991,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BJRI,t62_sec_f60fec4aeeb7bba954de,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BKE,t62_sec_85e7121ee4eac02df66c,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BKH,t62_sec_1455e22b1ea7d26aa687,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BKNG,t62_sec_ec8bd199a6fe6f5a2be6,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BKT,t62_sec_25f29fab55523e834ba6,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BLDP,t62_sec_74edbb2e96f6d4ef79a6,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BLK,t62_sec_2327891a9a6c6c0cb547,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BLKB,t62_sec_3a3b9666d6420601aaa8,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BLW,t62_sec_aae27658466ea2aad65d,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BLX,t62_sec_0861f93d440874fa072a,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BMI,t62_sec_58faf31ef7dfbb9a7945,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BMO,t62_sec_9a648f49c14287238205,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BMY,t62_sec_b90b9809bda6f67684e0,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BN,t62_sec_0a15ab148f7ebc1b3bd1,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BNBX,t62_sec_22a06ca8908586990b30,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BNS,t62_sec_db7b98f758a95f3894a7,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BNY,t62_sec_8f702c3b8d6e03a27020,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BOH,t62_sec_e3040c2609639f1c8ba7,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BOKF,t62_sec_903a67728d1161ac9d3d,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BOOM,t62_sec_710a2d0eeedaa6acac1a,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BP,t62_sec_ceec09a1122946bac40e,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BPOP,t62_sec_fa301585895d317f85d7,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BRC,t62_sec_8f253cf06148ec3378a6,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BRK-A,,IDENTITY_LIMITED,False,False,ELIGIBILITY_AUTHORITY_MISSING
BRK-B,,IDENTITY_LIMITED,False,False,ELIGIBILITY_AUTHORITY_MISSING
BRKR,t62_sec_c31ffbe880e996dc0bd5,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BRO,t62_sec_b36edf11944e831fc427,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BRW,t62_sec_761b71a2e3bf08931bf8,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BSAC,t62_sec_12c235c4528aba591265,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BSET,t62_sec_2ddcfe3d49e54acf73e2,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BSX,t62_sec_b83b6f2c3188d3fe6d3e,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BTI,t62_sec_977dab069d88a4bf39fd,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BTO,t62_sec_d37875e01bfb66517808,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BVN,t62_sec_8b49ac8fc6a74d8f4906,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BWA,t62_sec_c48885114c7e99c5a94a,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BXP,t62_sec_80929141ea63f402ce50,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BYD,t62_sec_2703a221ad4443549621,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BZH,t62_sec_b1eb990613dfbea4395b,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
C,t62_sec_701192d94b4467d1c3ad,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
CAC,t62_sec_562335f2772d7e92049b,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
CACI,t62_sec_9f174e5bfb14f5eabb0e,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
CAE,t62_sec_cf11b833f0132e236d5d,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
CAG,t62_sec_2a1cdcc047b89fb3a0dc,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
CAH,t62_sec_28440daae0507d7ae8f0,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
CAKE,t62_sec_9b5af4c787ac7d2d1d4e,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
CAL,t62_sec_a9157d99a6f767a274d6,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
CALM,t62_sec_6c83624ca030d21b1343,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
CALY,t62_sec_fa91e2f13f256d0214e8,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
CAR,t62_sec_657aa94149666af59255,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
CASY,t62_sec_33d288c89da366f94db2,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
CAT,t62_sec_cdcd8a926bb5ef56e3e0,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
CATO,t62_sec_ad8b49606edd15bcccc3,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
CATY,t62_sec_80ed7b6846e5e4802a21,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
CB,t62_sec_424f40db5f9820fb437f,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
CBRE,t62_sec_d748b3810821eb40851c,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
CBRL,t62_sec_b36ec1a6c94ca189f2bf,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
CBSH,t62_sec_f31d83e2e14560234297,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
CBT,t62_sec_bb2b0b0366e1e2fe9d9e,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
CBU,t62_sec_a73467e8369d8cc1af45,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
CBZ,t62_sec_aca305788635411b6494,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
CCBG,t62_sec_75d23b45dac8e03e4072,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
CCEP,t62_sec_2bd417171006a80d6661,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
CCI,t62_sec_c79f3a26deb7348055c0,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
CCK,t62_sec_f68315604dc328e755af,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
