observed_symbol,classification,research_rows_admitted_by_C2
BTI,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BTO,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BVN,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BWA,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BXP,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BYD,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BZH,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
C,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CAC,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
CACI,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CAE,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
CAG,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CAH,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CAKE,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CAL,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
CALM,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CALY,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
CAR,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CASY,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CAT,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CATO,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
CATY,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
CB,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CBRE,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CBRL,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
CBSH,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CBT,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
CBU,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
CBZ,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
CCBG,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
CCEP,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
CCI,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
CCK,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CCL,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CCOI,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
CCRN,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
CCU,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
CDE,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CDNS,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CDP,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
CE,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CECO,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
CFFN,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
CHKP,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CHRW,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CHT,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
CI,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CIEN,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CINF,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CL,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
CLX,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
CMCSA,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CMI,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CMS,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
CNP,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
COF,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
COP,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
COR,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
COST,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CPB,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
CRM,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
CSCO,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CSX,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CTAS,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CVS,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
CVX,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
CXT,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
D,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
DAL,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
DD,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
DGX,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
DHR,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
DIS,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
DLTR,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
DLX,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
DOV,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
DRI,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
DTE,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
DUK,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
DVN,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
EBAY,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ECL,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ED,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
EFX,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
EIX,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
ELV,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
EMN,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
EMR,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
EOG,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
EPC,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
EQR,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ETN,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ETR,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
EXC,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
EXPD,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
F,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
FAST,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
FCX,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
FDX,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
FE,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
FHI,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
FHN,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
FISV,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
FLEX,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
FLR,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
GAP,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
GD,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
GE,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
GEN,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
GFI,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
GILD,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
GIS,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
GL,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
GLD,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
GLW,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
GNTX,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
GOOGL,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
GPC,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
GRMN,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
GS,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
GT,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
GWW,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
HAL,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
HAS,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
HBAN,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
HD,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
HIG,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
HMY,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
HON,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
HPQ,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
HRB,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
HSIC,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
HSY,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
IBCP,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
IBM,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
IFF,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
INTC,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
INTU,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
IP,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
ITT,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ITW,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
JBL,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
JCI,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
JHG,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
JNJ,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
JPM,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
KBH,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
KEY,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
KGC,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
KLAC,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
KMB,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
KO,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
KR,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
KSS,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
LAMR,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
LEG,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
LEU,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
LGND,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
LLY,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
LMT,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
LNC,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
LOW,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
LPX,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
LRCX,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
LUMN,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
LUV,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
MA,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
MAR,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
MAS,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
MAT,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
MBI,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
MCD,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
MCHP,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
MCK,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
